    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
    2    6         1    5        0.60655         94.212         95.917          -16.400          -19.170         0.17321E+00    0.17321E+00    0
    2    6         4    8        0.20555        139.878        139.021          -17.100          -16.656         0.17321E+00    0.17321E+00    0
    3    7         1    5        0.66767        133.116        130.505          -14.300          -17.620         0.17321E+00    0.17321E+00    0
    3    7        46   50        0.59654         42.780         43.455           -9.400          -17.870         0.17321E+00    0.17321E+00    0
    3    7        47   51        0.77847         39.198         38.305          -11.300          -18.782         0.17321E+00    0.17608E+00    1
    8    4         1    5        0.01472         81.873         81.909          -22.500          -22.457         0.17321E+00    0.17321E+00    0
   10    6         1    5        0.32102        102.265        103.223          -16.900          -19.145         0.17321E+00    0.17321E+00    0
   11    7         1    5        0.39476        157.224        155.482          -13.400          -17.594         0.17321E+00    0.17321E+00    0
   11    7         2    6        0.32293        157.950        159.485          -18.800          -18.003         0.17321E+00    0.17321E+00    0
    7   11        47   51        0.75565        108.507        110.973          -11.300           -8.079         0.17321E+00    0.17321E+00    0
   12    8         1    5        0.32702        178.442        180.230          -13.100          -16.203         0.17321E+00    0.17906E+00    1
   12    8         2    6        1.11178        191.636        198.129          -18.500          -16.429         0.17321E+00    0.17321E+00    0
   13    9         1    5        0.48058        133.535        131.508          -12.500          -15.623         0.17321E+00    0.17999E+00    1
   13    9         2    6        0.34019        151.099        149.583          -17.200          -15.804         0.17321E+00    0.17321E+00    0
   14   10         1    5        0.55089         70.753         71.931          -15.500          -16.116         0.17321E+00    0.17321E+00    0
   14   10         2    6        0.46522         79.082         80.169          -19.500          -16.340         0.17321E+00    0.17321E+00    0
   15   11         1    5        0.46721         59.692         58.861          -16.100          -16.024         0.17321E+00    0.17321E+00    0
   15   11         2    6        0.63417         65.095         63.890          -19.500          -16.303         0.17321E+00    0.17321E+00    0
   16   12         1    5        0.75429         54.626         53.405          -14.300          -15.774         0.17321E+00    0.17321E+00    0
   16   12         2    6        1.01949         57.540         55.810          -17.400          -16.074         0.17321E+00    0.17321E+00    0
