    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
    1    2         4    3        0.03668        253.627        253.441           -9.991          -10.021         0.14142E+00    0.14142E+00    0
    2    3         5    4        0.06285        242.865        242.564           -9.990          -10.220         0.14142E+00    0.14142E+00    0
    3    4         6    5        0.06343        237.421        237.128           -9.989          -10.276         0.14142E+00    0.14142E+00    0
    4    5         7    6        0.03772        238.066        237.898           -9.989          -10.254         0.14142E+00    0.14142E+00    0
    5    6         8    7        0.02388        239.008        238.900           -9.988          -10.147         0.14142E+00    0.14142E+00    0
    6    7         9    8        0.03189        243.935        243.779           -9.988          -10.009         0.14142E+00    0.14142E+00    0
    7    8        10    9        0.03900        239.210        239.027           -9.988           -9.845         0.14142E+00    0.14142E+00    0
    8    9        11   10        0.07085        242.422        242.087           -9.988           -9.691         0.14142E+00    0.14142E+00    0
    9   10        12   11        0.14347        264.453        263.704           -9.989           -9.578         0.14142E+00    0.14142E+00    0
   10   11        13   12        0.15119        247.941        247.203           -9.986           -9.498         0.14142E+00    0.14142E+00    0
   11   12        14   13        0.14084        235.008        234.361           -9.983           -9.442         0.14142E+00    0.14142E+00    0
   12   13        15   14        0.09570        247.938        247.490           -9.984           -9.374         0.14142E+00    0.14142E+00    0
   13   14        16   15        0.08662        253.064        252.659           -9.987           -9.344         0.14142E+00    0.14142E+00    0
   14   15        17   16        0.07267        245.808        245.487           -9.984           -9.359         0.14142E+00    0.14142E+00    0
   15   16        18   17        0.06264        243.215        242.943           -9.979           -9.432         0.14142E+00    0.14142E+00    0
   16   17        19   18        0.08192        256.403        255.999           -9.985           -9.551         0.14142E+00    0.14142E+00    0
   17   18        20   19        0.06659        242.851        242.533           -9.985           -9.763         0.14142E+00    0.14142E+00    0
   18   19        21   20        0.12695        240.514        239.905           -9.979          -10.060         0.14142E+00    0.14142E+00    0
   19   20        22   21        0.10159        250.157        249.661           -9.987          -10.426         0.14142E+00    0.14142E+00    0
   20   21        23   22        0.05309        247.347        247.189           -9.981          -10.837         0.14142E+00    0.14142E+00    0
   21   22        24   23        0.18634        244.758        243.880           -9.998          -11.031         0.14142E+00    0.14142E+00    0
    1    2         5    4        0.05141        250.408        250.154           -9.969          -10.159         0.14142E+00    0.14142E+00    0
    2    3         6    5        0.14443        251.673        250.950           -9.969          -10.265         0.14142E+00    0.14142E+00    0
    3    4         7    6        0.13557        247.298        246.632           -9.968          -10.272         0.14142E+00    0.14142E+00    0
    4    5         8    7        0.10180        247.539        247.037           -9.967          -10.178         0.14142E+00    0.14142E+00    0
    5    6         9    8        0.11448        250.915        250.341           -9.969          -10.051         0.14142E+00    0.14142E+00    0
    6    7        10    9        0.12643        247.877        247.251           -9.969           -9.916         0.14142E+00    0.14142E+00    0
    7    8        11   10        0.15032        249.967        249.218           -9.972           -9.782         0.14142E+00    0.14142E+00    0
    8    9        12   11        0.19144        252.078        251.118           -9.973           -9.693         0.14142E+00    0.14142E+00    0
    9   10        13   12        0.21681        257.038        255.930           -9.969           -9.612         0.14142E+00    0.14142E+00    0
   10   11        14   13        0.11515        251.314        250.747           -9.961           -9.548         0.14142E+00    0.14142E+00    0
   11   12        15   14        0.05002        251.018        250.795           -9.962           -9.514         0.14142E+00    0.14142E+00    0
   12   13        16   15        0.03057        258.014        257.911           -9.973           -9.512         0.14142E+00    0.14142E+00    0
   13   14        17   16        0.03303        251.720        251.843           -9.980           -9.528         0.14142E+00    0.14142E+00    0
   14   15        18   17        0.08602        252.629        253.052           -9.972           -9.561         0.14142E+00    0.14142E+00    0
   15   16        19   18        0.09683        251.026        251.507           -9.983           -9.663         0.14142E+00    0.14142E+00    0
   16   17        20   19        0.09495        248.604        249.075          -10.006           -9.832         0.14142E+00    0.14142E+00    0
   17   18        21   20        0.08652        248.785        249.216          -10.005          -10.069         0.14142E+00    0.14142E+00    0
   18   19        22   21        0.08700        242.431        242.841          -10.020          -10.418         0.14142E+00    0.14142E+00    0
   19   20        23   22        0.17103        235.866        236.652          -10.038          -10.795         0.14142E+00    0.14142E+00    0
   20   21        24   23        0.16561        234.772        234.025          -10.065          -10.999         0.14142E+00    0.14142E+00    0
    1    2         6    5        0.05760        255.769        255.483           -9.947          -10.227         0.14142E+00    0.14142E+00    0
    2    3         7    6        0.08557        253.847        253.422           -9.948          -10.311         0.14142E+00    0.14142E+00    0
    3    4         8    7        0.04156        251.697        251.503           -9.950          -10.268         0.14142E+00    0.14142E+00    0
    4    5         9    8        0.02520        254.193        254.310           -9.953          -10.161         0.14142E+00    0.14142E+00    0
    5    6        10    9        0.00383        251.822        251.830           -9.960          -10.030         0.14142E+00    0.14142E+00    0
    6    7        11   10        0.01051        252.079        252.130           -9.967           -9.918         0.14142E+00    0.14142E+00    0
    7    8        12   11        0.02849        252.111        251.972           -9.974           -9.847         0.14142E+00    0.14142E+00    0
    8    9        13   12        0.05604        252.712        252.433           -9.971           -9.788         0.14142E+00    0.14142E+00    0
    9   10        14   13        0.01357        254.602        254.573           -9.959           -9.715         0.14142E+00    0.14142E+00    0
   10   11        15   14        0.12609        251.729        252.361           -9.957           -9.673         0.14142E+00    0.14142E+00    0
   11   12        16   15        0.18861        252.427        253.380           -9.974           -9.713         0.14142E+00    0.14142E+00    0
   12   13        17   16        0.14532        245.499        246.212          -10.003           -9.765         0.14142E+00    0.14142E+00    0
   13   14        18   17        0.13217        244.169        244.814          -10.010           -9.800         0.14142E+00    0.14142E+00    0
   14   15        19   18        0.17529        242.043        242.892          -10.026           -9.869         0.14142E+00    0.14142E+00    0
   15   16        20   19        0.12744        231.761        232.353          -10.071          -10.035         0.14142E+00    0.14142E+00    0
   16   17        21   20        0.05411        227.180        227.424          -10.104          -10.242         0.14142E+00    0.14142E+00    0
   17   18        22   21        0.02625        218.746        218.669          -10.138          -10.532         0.14142E+00    0.14142E+00    0
   18   19        23   22        0.14393        203.839        203.270          -10.186          -10.889         0.14142E+00    0.14142E+00    0
   19   20        24   23        0.57286        196.788        194.550          -10.244          -11.031         0.14142E+00    0.14142E+00    0
    1    2         7    6        0.10596        256.690        256.153           -9.941          -10.287         0.14142E+00    0.14142E+00    0
    2    3         8    7        0.08656        255.444        255.012           -9.948          -10.337         0.14142E+00    0.14142E+00    0
    3    4         9    8        0.03630        254.061        253.898           -9.959          -10.299         0.14142E+00    0.14142E+00    0
    4    5        10    9        0.02251        252.240        252.338           -9.972          -10.198         0.14142E+00    0.14142E+00    0
    5    6        11   10        0.00793        250.126        250.157           -9.990          -10.088         0.14142E+00    0.14142E+00    0
    6    7        12   11        0.05481        247.899        247.628          -10.006          -10.039         0.14142E+00    0.14142E+00    0
    7    8        13   12        0.09064        246.745        246.299          -10.009           -9.991         0.14142E+00    0.14142E+00    0
