    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
   43   23        45   24        1.89336         22.817         20.756           -6.945           -8.280         0.22361E+00    0.22361E+00    0
   43   23        45   26        1.22059          7.854          8.412          -10.035           -9.640         0.22361E+00    0.23718E+00    1
   43   23        45   28        1.99569          3.574          4.170          -10.585          -10.602         0.22361E+00    0.27790E+00    1
   43   23        45   29        2.22698          2.987          3.553          -11.305          -10.850         0.22361E+00    0.27912E+00    1
   43   23        45   30        2.41020          2.663          3.251          -11.265          -11.010         0.22361E+00    0.28777E+00    1
   43   23        45   31        2.56447          2.400          2.998          -12.085          -11.140         0.22361E+00    0.29463E+00    1
   43   23        45   32        2.66115          2.182          2.776          -11.765          -11.268         0.22361E+00    0.30079E+00    1
   43   23        45   33        2.67076          2.021          2.579          -12.025          -11.382         0.22361E+00    0.30198E+00    1
   43   23        45   35        3.05814          1.701          2.298          -11.635          -11.554         0.22361E+00    0.31356E+00    1
   43   23        45   36        3.17216          1.574          2.169          -12.245          -11.616         0.22361E+00    0.31807E+00    1
   43   23        45   37        3.35419          1.448          2.059          -11.400          -11.660         0.22361E+00    0.32388E+00    1
   43   23        45   38        3.49428          1.351          1.968          -11.955          -11.690         0.22361E+00    0.32832E+00    1
   43   23        45   41        3.60915          1.130          1.704          -11.465          -11.820         0.22361E+00    0.33762E+00    1
   43   23        46   26        1.04705         11.124         11.737          -10.070           -9.638         0.22361E+00    0.22638E+00    1
   43   23        46   28        1.68854          5.677          6.373          -10.975          -10.638         0.22361E+00    0.26172E+00    1
   43   23        46   29        1.89174          4.905          5.566          -11.390          -10.910         0.22361E+00    0.25847E+00    1
   43   23        46   30        2.05262          4.484          5.190          -11.830          -11.090         0.22361E+00    0.26687E+00    1
   43   23        46   31        2.19482          4.106          4.840          -12.260          -11.238         0.22361E+00    0.27356E+00    1
   43   23        46   32        2.25382          3.781          4.508          -12.515          -11.387         0.22361E+00    0.27939E+00    1
   43   23        46   33        2.28098          3.514          4.200          -12.305          -11.523         0.22361E+00    0.27975E+00    1
