    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
   43   23        45   24        2.93133         22.817         19.706           -6.945           -7.746         0.22361E+00    0.22361E+00    0
   43   23        45   26        1.24631          7.854          8.459          -10.035           -9.618         0.22361E+00    0.24394E+00    1
   43   23        45   28        1.86526          3.574          4.110          -10.585          -11.469         0.22361E+00    0.27359E+00    1
   43   23        45   29        1.73174          2.987          3.391          -11.305          -12.101         0.22361E+00    0.27046E+00    1
   43   23        45   30        1.89407          2.663          3.071          -11.265          -12.500         0.22361E+00    0.27428E+00    1
   43   23        45   31        2.02849          2.400          2.807          -12.085          -12.851         0.22361E+00    0.27780E+00    1
   43   23        45   32        2.07373          2.182          2.570          -11.765          -13.217         0.22361E+00    0.28105E+00    1
   43   23        45   33        1.98201          2.021          2.363          -12.025          -13.571         0.22361E+00    0.28074E+00    1
   43   23        45   35        2.34538          1.701          2.068          -11.635          -14.155         0.22361E+00    0.28875E+00    1
   43   23        45   36        2.44464          1.574          1.939          -12.245          -14.426         0.22361E+00    0.29212E+00    1
   43   23        45   37        2.64359          1.448          1.828          -11.400          -14.672         0.22361E+00    0.29683E+00    1
   43   23        45   38        2.77712          1.351          1.735          -11.955          -14.894         0.22361E+00    0.30045E+00    1
   43   23        45   41        2.75797          1.130          1.469          -11.465          -15.721         0.22361E+00    0.30881E+00    1
   43   23        46   26        1.14241         11.124         11.872          -10.070           -9.489         0.22361E+00    0.23872E+00    1
   43   23        46   28        1.65466          5.677          6.375          -10.975          -11.182         0.22361E+00    0.26487E+00    1
   43   23        46   29        1.45241          4.905          5.405          -11.390          -11.754         0.22361E+00    0.25850E+00    1
   43   23        46   30        1.59286          4.484          4.998          -11.830          -12.116         0.22361E+00    0.26117E+00    1
   43   23        46   31        1.71834          4.106          4.628          -12.260          -12.436         0.22361E+00    0.26386E+00    1
   43   23        46   32        1.72337          3.781          4.272          -12.515          -12.773         0.22361E+00    0.26617E+00    1
   43   23        46   33        1.65113          3.514          3.945          -12.305          -13.100         0.22361E+00    0.26498E+00    1
   43   23        46   35        1.90726          3.011          3.464          -12.535          -13.645         0.22361E+00    0.27114E+00    1
   43   23        46   36        2.01836          2.785          3.243          -12.600          -13.897         0.22361E+00    0.27451E+00    1
   43   23        46   37        2.18477          2.575          3.053          -12.335          -14.126         0.22361E+00    0.27898E+00    1
   43   23        46   38        2.34199          2.397          2.891          -12.365          -14.334         0.22361E+00    0.28298E+00    1
   43   23        46   39        2.50802          2.222          2.732          -12.110          -14.569         0.22361E+00    0.28716E+00    1
   43   23        46   41        2.42913          1.962          2.419          -12.010          -15.134         0.22361E+00    0.29348E+00    1
   43   23        47   26        1.04494         13.730         14.540          -10.125           -9.391         0.22361E+00    0.23427E+00    1
   45   24        47   26        0.06153         12.271         12.309           -8.600           -8.915         0.22361E+00    0.22361E+00    0
   43   23        47   28        1.45000          7.774          8.555          -11.105          -10.955         0.22361E+00    0.25685E+00    1
   45   24        47   28        1.36299          4.986          5.486          -10.200          -10.892         0.22361E+00    0.26498E+00    1
   43   23        47   29        1.15851          6.968          7.477          -11.525          -11.474         0.22361E+00    0.24672E+00    1
   45   24        47   29        1.25589          4.015          4.381          -10.930          -11.599         0.22361E+00    0.26351E+00    1
   43   23        47   30        1.27520          6.553          7.087          -12.055          -11.803         0.22361E+00    0.24795E+00    1
   45   24        47   30        1.51159          3.499          3.906          -11.590          -12.056         0.22361E+00    0.26984E+00    1
   43   23        47   31        1.37387          6.128          6.675          -12.470          -12.092         0.22361E+00    0.24932E+00    1
   45   24        47   31        1.70957          3.088          3.515          -12.340          -12.457         0.22361E+00    0.27519E+00    1
   43   23        47   32        1.33446          5.732          6.232          -12.510          -12.401         0.22361E+00    0.25034E+00    1
   45   24        47   32        1.80509          2.751          3.169          -12.675          -12.868         0.22361E+00    0.28000E+00    1
   43   23        47   33        1.31503          5.350          5.802          -12.765          -12.702         0.22361E+00    0.24823E+00    1
   45   24        47   33        1.83420          2.483          2.871          -12.825          -13.261         0.22361E+00    0.28157E+00    1
   43   23        47   35        1.40804          4.699          5.135          -12.780          -13.204         0.22361E+00    0.25111E+00    1
   45   24        47   35        1.97857          2.085          2.456          -13.140          -13.904         0.22361E+00    0.28795E+00    1
   43   23        47   36        1.50489          4.367          4.812          -12.900          -13.435         0.22361E+00    0.25392E+00    1
   45   24        47   36        2.08795          1.906          2.277          -13.260          -14.203         0.22361E+00    0.29175E+00    1
   43   23        47   37        1.67406          4.051          4.531          -12.500          -13.644         0.22361E+00    0.25841E+00    1
   45   24        47   37        2.26405          1.741          2.125          -13.105          -14.476         0.22361E+00    0.29647E+00    1
   43   23        47   38        1.82566          3.782          4.288          -12.820          -13.834         0.22361E+00    0.26232E+00    1
   45   24        47   38        2.39897          1.609          1.998          -13.200          -14.725         0.22361E+00    0.30035E+00    1
   43   23        47   39        1.85571          3.551          4.045          -12.745          -14.051         0.22361E+00    0.26485E+00    1
   45   24        47   39        2.40492          1.504          1.875          -13.305          -15.003         0.22361E+00    0.30290E+00    1
   45   24        47   41        3.03931          1.211          1.642          -13.970          -15.658         0.22361E+00    0.31656E+00    1
   43   23        47   42        3.01247          2.344          3.057          -12.665          -15.339         0.22361E+00    0.29695E+00    1
   45   24        47   42        3.23561          0.990          1.400          -13.310          -16.565         0.22361E+00    0.32724E+00    1
   43   23        49   26        0.97140         17.350         18.264          -10.085           -9.289         0.22361E+00    0.22993E+00    1
   45   24        49   26        0.13760         18.228         18.103           -8.535           -8.765         0.22361E+00    0.22361E+00    0
   43   23        49   28        1.27682         11.597         12.546          -10.975          -10.710         0.22361E+00    0.24832E+00    1
   45   24        49   28        0.99595          9.794         10.412          -10.135          -10.449         0.22361E+00    0.24785E+00    1
   46   26        49   28        1.31337         12.416         13.274           -7.915           -8.882         0.22361E+00    0.22564E+00    1
   43   23        49   29        0.87810         11.156         11.701          -11.500          -11.167         0.22361E+00    0.23298E+00    1
   45   24        49   29        0.69579          8.676          9.024          -10.865          -11.022         0.22361E+00    0.23775E+00    1
   46   26        49   29        0.52070         10.240         10.510           -8.730           -9.724         0.22361E+00    0.22361E+00    0
   43   23        49   30        0.96662         11.156         11.752          -11.890          -11.456         0.22361E+00    0.23196E+00    1
   45   24        49   30        0.90412          8.138          8.577          -11.585          -11.393         0.22361E+00    0.24110E+00    1
   46   26        49   30        0.86086          9.251          9.691           -9.810          -10.281         0.22361E+00    0.23235E+00    1
   47   28        49   30        1.11413         11.743         11.107           -7.475           -8.616         0.22361E+00    0.22361E+00    0
   43   23        49   31        1.03479         10.955         11.578          -12.420          -11.708         0.22361E+00    0.23113E+00    1
