    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
   43   23        45   24        0.82504         14.184         14.782           -2.523           -2.571         0.22361E+00    0.22361E+00    0
   43   23        45   26        1.08207          6.074          6.416           -2.693           -2.745         0.22361E+00    0.22489E+00    1
   43   23        45   28        0.05513          3.227          3.237           -3.142           -3.044         0.22361E+00    0.22674E+00    1
   43   23        45   29        1.18787          2.290          2.457           -3.361           -3.235         0.22361E+00    0.24302E+00    1
   43   23        45   30        1.63637          2.149          1.958           -3.480           -3.454         0.22361E+00    0.23843E+00    1
   43   23        45   31        0.62080          1.578          1.638           -3.718           -3.674         0.22361E+00    0.24477E+00    1
   43   23        45   32        0.28033          1.390          1.414           -4.027           -3.898         0.22361E+00    0.24555E+00    1
   43   23        45   33        1.37337          1.111          1.240           -4.286           -4.132         0.22361E+00    0.28233E+00    1
   43   23        45   35        1.18729          0.924          1.009           -4.724           -4.584         0.22361E+00    0.27217E+00    1
   43   23        45   36        1.45910          0.811          0.928           -5.087           -4.799         0.22361E+00    0.30376E+00    1
   43   23        45   37        1.28295          0.773          0.862           -5.172           -5.013         0.22361E+00    0.29067E+00    1
   43   23        45   38        1.07501          0.745          0.808           -5.524           -5.212         0.22361E+00    0.27417E+00    1
   43   23        45   41        1.40100          0.608          0.701           -6.387           -5.720         0.22361E+00    0.31806E+00    1
   43   23        46   26        1.27258          8.475          9.044           -2.650           -2.686         0.22361E+00    0.22613E+00    1
   43   23        46   28        0.05171          5.095          5.082           -2.774           -2.899         0.22361E+00    0.22361E+00    0
   43   23        46   29        0.84532          3.793          3.971           -2.971           -3.037         0.22361E+00    0.23297E+00    1
   43   23        46   30        0.74915          3.350          3.227           -3.241           -3.200         0.22361E+00    0.22361E+00    0
   43   23        46   31        0.75498          2.616          2.730           -3.361           -3.370         0.22361E+00    0.23798E+00    1
   43   23        46   32        1.11813          2.216          2.371           -3.585           -3.546         0.22361E+00    0.24575E+00    1
   43   23        46   33        0.23350          2.058          2.085           -3.790           -3.735         0.22361E+00    0.23868E+00    1
   43   23        46   35        0.70574          1.624          1.696           -4.230           -4.111         0.22361E+00    0.24845E+00    1
   43   23        46   36        1.49671          1.365          1.558           -4.401           -4.296         0.22361E+00    0.29693E+00    1
   43   23        46   37        0.99690          1.349          1.442           -4.516           -4.483         0.22361E+00    0.25753E+00    1
   43   23        46   38        0.61262          1.294          1.348           -4.870           -4.659         0.22361E+00    0.25781E+00    1
   43   23        46   39        1.27573          1.142          1.271           -4.847           -4.828         0.22361E+00    0.28898E+00    1
   43   23        46   41        1.34049          1.024          1.159           -5.297           -5.121         0.22361E+00    0.30336E+00    1
   43   23        47   26        1.27590         11.856         11.124           -2.620           -2.653         0.22361E+00    0.22361E+00    0
   45   24        47   26        1.63490          8.423          9.383           -2.672           -2.643         0.22361E+00    0.25695E+00    1
