    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
   43   23        45   24        0.74864         14.184         14.725           -2.523           -2.549         0.22361E+00    0.22361E+00    0
   43   23        45   26        0.98137          6.074          6.380           -2.693           -2.686         0.22361E+00    0.22361E+00    0
   43   23        45   28        0.07328          3.227          3.216           -3.142           -2.801         0.22361E+00    0.22361E+00    0
   43   23        45   29        1.14701          2.290          2.445           -3.361           -2.861         0.22361E+00    0.23835E+00    1
   43   23        45   30        1.88015          2.149          1.956           -3.480           -2.923         0.22361E+00    0.22361E+00    0
   43   23        45   31        0.52267          1.578          1.634           -3.718           -2.983         0.22361E+00    0.25665E+00    1
   43   23        45   32        0.24576          1.390          1.414           -4.027           -3.039         0.22361E+00    0.26270E+00    1
   43   23        45   33        1.25844          1.111          1.249           -4.286           -3.095         0.22361E+00    0.30514E+00    1
   43   23        45   35        1.09971          0.924          1.027           -4.724           -3.198         0.22361E+00    0.31028E+00    1
   43   23        45   36        1.35290          0.811          0.947           -5.087           -3.248         0.22361E+00    0.33848E+00    1
   43   23        45   37        1.18387          0.773          0.882           -5.172           -3.297         0.22361E+00    0.33314E+00    1
   43   23        45   38        0.96696          0.745          0.825           -5.524           -3.346         0.22361E+00    0.32395E+00    1
   43   23        45   41        1.27346          0.608          0.720           -6.387           -3.467         0.22361E+00    0.36308E+00    1
   43   23        46   26        1.19253          8.475          8.995           -2.650           -2.677         0.22361E+00    0.22361E+00    0
   43   23        46   28        0.17091          5.095          5.052           -2.774           -2.782         0.22361E+00    0.22361E+00    0
   43   23        46   29        0.83299          3.793          3.954           -2.971           -2.835         0.22361E+00    0.22361E+00    0
   43   23        46   30        0.74640          3.350          3.227           -3.241           -2.890         0.22361E+00    0.22361E+00    0
   43   23        46   31        0.71899          2.616          2.726           -3.361           -2.944         0.22361E+00    0.23969E+00    1
   43   23        46   32        1.04298          2.216          2.375           -3.585           -2.996         0.22361E+00    0.25768E+00    1
   43   23        46   33        0.37849          2.058          2.106           -3.790           -3.048         0.22361E+00    0.24846E+00    1
   43   23        46   35        0.89907          1.624          1.733           -4.230           -3.146         0.22361E+00    0.26915E+00    1
   43   23        46   36        1.49597          1.365          1.596           -4.401           -3.195         0.22361E+00    0.32344E+00    1
   43   23        46   37        1.05897          1.349          1.482           -4.516           -3.243         0.22361E+00    0.29768E+00    1
   43   23        46   38        0.80330          1.294          1.383           -4.870           -3.292         0.22361E+00    0.28727E+00    1
   43   23        46   39        1.24624          1.142          1.304           -4.847           -3.339         0.22361E+00    0.32643E+00    1
   43   23        46   41        1.32686          1.024          1.197           -5.297           -3.416         0.22361E+00    0.34265E+00    1
   43   23        47   26        1.38719         11.856         11.062           -2.620           -2.672         0.22361E+00    0.22361E+00    0
   45   24        47   26        1.84128          8.423          9.406           -2.672           -2.623         0.22361E+00    0.24483E+00    1
   43   23        47   28        0.75902          6.602          6.857           -2.794           -2.769         0.22361E+00    0.22361E+00    0
   45   24        47   28        1.78105          4.924          4.504           -2.888           -2.738         0.22361E+00    0.22361E+00    0
   43   23        47   29        0.06004          5.563          5.546           -2.846           -2.818         0.22361E+00    0.22361E+00    0
   45   24        47   29        0.89288          3.455          3.304           -3.043           -2.795         0.22361E+00    0.22361E+00    0
   43   23        47   30        1.45818          4.267          4.640           -3.048           -2.869         0.22361E+00    0.23958E+00    1
   45   24        47   30        0.90538          2.416          2.549           -3.059           -2.856         0.22361E+00    0.24369E+00    1
   43   23        47   31        1.37019          3.668          3.985           -3.125           -2.919         0.22361E+00    0.24619E+00    1
   45   24        47   31        1.45729          1.815          2.056           -3.363           -2.916         0.22361E+00    0.29221E+00    1
   43   23        47   32        1.00151          3.320          3.513           -3.334           -2.968         0.22361E+00    0.23759E+00    1
   45   24        47   32        1.30219          1.537          1.724           -3.537           -2.973         0.22361E+00    0.29693E+00    1
   43   23        47   33        1.46521          2.816          3.142           -3.446           -3.017         0.22361E+00    0.27317E+00    1
   45   24        47   33        1.24240          1.324          1.479           -3.719           -3.031         0.22361E+00    0.29817E+00    1
   43   23        47   35        1.99970          2.073          2.606           -3.973           -3.111         0.22361E+00    0.33803E+00    1
   45   24        47   35        1.12289          1.042          1.158           -4.085           -3.140         0.22361E+00    0.30771E+00    1
   43   23        47   36        1.12855          2.213          2.404           -3.985           -3.158         0.22361E+00    0.27058E+00    1
   45   24        47   36        0.84491          0.973          1.048           -4.503           -3.194         0.22361E+00    0.29593E+00    1
   43   23        47   37        1.24576          2.014          2.233           -4.204           -3.205         0.22361E+00    0.28829E+00    1
