    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
    1    2         4    3        1.23686         99.658        102.154          -15.050          -15.064         0.14142E+00    0.14142E+00    0
    2    3         5    4        0.84568         98.438        100.117          -15.022          -15.037         0.14142E+00    0.14142E+00    0
    3    4         6    5        1.33847         86.762         89.116          -14.831          -14.888         0.14142E+00    0.14142E+00    0
    4    5         7    6        0.12399         83.518         83.725          -14.873          -14.941         0.14142E+00    0.14142E+00    0
    5    6         8    7        0.89849         83.555         82.067          -14.873          -14.929         0.14142E+00    0.14142E+00    0
    6    7         9    8        1.70662         86.720         89.731          -14.831          -14.992         0.14142E+00    0.14142E+00    0
    7    8        10    9        2.44632         98.368        103.300          -15.022          -15.147         0.14142E+00    0.14142E+00    0
    8    9        11   10        0.00863         99.483         99.466          -15.049          -15.034         0.14142E+00    0.14142E+00    0
    9   10        12   11        0.94582         97.723         95.892          -15.021          -14.954         0.14142E+00    0.14142E+00    0
   10   11        13   12        0.62632         96.862         95.656          -15.009          -14.941         0.14142E+00    0.14142E+00    0
   11   12        14   13        0.44538         96.647         95.790          -15.004          -14.953         0.14142E+00    0.14142E+00    0
   12   13        15   14        0.26626         96.482         95.970          -15.001          -14.968         0.14142E+00    0.14142E+00    0
   13   14        16   15        0.11781         96.427         96.201          -15.000          -14.982         0.14142E+00    0.14142E+00    0
   14   15        17   16        0.04829         96.378         96.471          -14.999          -14.996         0.14142E+00    0.14142E+00    0
   15   16        18   17        0.18647         96.366         96.726          -14.998          -15.013         0.14142E+00    0.14142E+00    0
   16   17        19   18        0.24697         96.405         96.882          -14.998          -15.030         0.14142E+00    0.14142E+00    0
   17   18        20   19        0.25954         96.372         96.873          -14.998          -15.038         0.14142E+00    0.14142E+00    0
   18   19        21   20        0.22335         96.365         96.796          -14.998          -15.048         0.14142E+00    0.14142E+00    0
   19   20        22   21        0.08674         96.336         96.503          -14.998          -15.032         0.14142E+00    0.14142E+00    0
   20   21        23   22        0.08449         96.392         96.229          -14.998          -15.007         0.14142E+00    0.14142E+00    0
   21   22        24   23        0.19936         96.516         96.132          -14.998          -14.971         0.14142E+00    0.14142E+00    0
    1    2         5    4        1.51407        101.530         98.501          -15.040          -14.960         0.14142E+00    0.14142E+00    0
    2    3         6    5        1.16343         75.378         73.644          -14.547          -14.498         0.14142E+00    0.14142E+00    0
    3    4         7    6        1.33745         56.789         55.177          -14.165          -14.136         0.14142E+00    0.14673E+00    1
    4    5         8    7        2.81407         52.715         48.587          -14.229          -14.088         0.14142E+00    0.17024E+00    1
    5    6         9    8        2.60662         56.767         52.805          -14.164          -14.052         0.14142E+00    0.16660E+00    1
    6    7        10    9        0.94391         75.335         73.926          -14.546          -14.567         0.14142E+00    0.14142E+00    0
    7    8        11   10        1.13157        101.289        103.607          -15.038          -15.104         0.14142E+00    0.14142E+00    0
    8    9        12   11        0.44697        105.374        106.320          -15.103          -15.113         0.14142E+00    0.14142E+00    0
    9   10        13   12        0.45670        101.905        100.979          -15.052          -15.027         0.14142E+00    0.14142E+00    0
   10   11        14   13        0.36202        100.158         99.436          -15.024          -15.003         0.14142E+00    0.14142E+00    0
   11   12        15   14        0.02022         99.364         99.324          -15.010          -15.000         0.14142E+00    0.14142E+00    0
   12   13        16   15        0.12023         98.986         99.224          -15.003          -15.001         0.14142E+00    0.14142E+00    0
   13   14        17   16        0.10452         98.846         99.053          -15.000          -14.998         0.14142E+00    0.14142E+00    0
   14   15        18   17        0.11810         98.726         98.960          -14.998          -15.002         0.14142E+00    0.14142E+00    0
   15   16        19   18        0.13470         98.673         98.939          -14.998          -14.996         0.14142E+00    0.14142E+00    0
   16   17        20   19        0.07929         98.658         98.815          -14.997          -14.991         0.14142E+00    0.14142E+00    0
   17   18        21   20        0.06780         98.612         98.745          -14.997          -14.990         0.14142E+00    0.14142E+00    0
   18   19        22   21        0.00577         98.636         98.647          -14.996          -14.987         0.14142E+00    0.14142E+00    0
   19   20        23   22        0.07318         98.649         98.505          -14.995          -14.984         0.14142E+00    0.14142E+00    0
   20   21        24   23        0.08077         98.844         98.684          -14.994          -14.980         0.14142E+00    0.14142E+00    0
    1    2         6    5        1.87069         68.109         65.370          -14.355          -14.190         0.14142E+00    0.14813E+00    1
    2    3         7    6        0.23141         44.259         44.007          -13.503          -13.483         0.14142E+00    0.15686E+00    1
    3    4         8    7        0.66947         36.124         36.761          -13.097          -13.095         0.14142E+00    0.16148E+00    1
    4    5         9    8        0.47968         36.119         35.604          -13.097          -13.041         0.14142E+00    0.17316E+00    1
    5    6        10    9        1.70208         44.233         42.057          -13.502          -13.398         0.14142E+00    0.17213E+00    1
    6    7        11   10        1.05615         67.932         66.512          -14.353          -14.344         0.14142E+00    0.14142E+00    0
    7    8        12   11        0.45760        101.756        102.691          -15.050          -15.091         0.14142E+00    0.14142E+00    0
    8    9        13   12        0.44437        109.217        110.192          -15.151          -15.160         0.14142E+00    0.14142E+00    0
    9   10        14   13        0.21246        104.706        104.263          -15.083          -15.067         0.14142E+00    0.14142E+00    0
   10   11        15   14        0.31561        102.023        101.381          -15.041          -15.016         0.14142E+00    0.14142E+00    0
   11   12        16   15        0.15863        100.724        100.405          -15.019          -14.997         0.14142E+00    0.14142E+00    0
   12   13        17   16        0.05872        100.110         99.992          -15.009          -14.991         0.14142E+00    0.14142E+00    0
   13   14        18   17        0.03688         99.777         99.851          -15.005          -14.999         0.14142E+00    0.14142E+00    0
   14   15        19   18        0.11036         99.598         99.818          -15.005          -15.002         0.14142E+00    0.14142E+00    0
   15   16        20   19        0.02381         99.508         99.555          -15.006          -14.996         0.14142E+00    0.14142E+00    0
   16   17        21   20        0.00810         99.397         99.413          -15.005          -14.995         0.14142E+00    0.14142E+00    0
   17   18        22   21        0.00709         99.386         99.400          -15.003          -14.996         0.14142E+00    0.14142E+00    0
   18   19        23   22        0.03201         99.413         99.349          -14.999          -15.001         0.14142E+00    0.14142E+00    0
   19   20        24   23        0.14053         99.611         99.331          -14.995          -15.001         0.14142E+00    0.14142E+00    0
    1    2         7    6        0.48466         39.123         39.613          -13.118          -13.099         0.14142E+00    0.16026E+00    1
    2    3         8    7        2.49783         33.201         35.246          -12.547          -12.675         0.14142E+00    0.15471E+00    1
    3    4         9    8        1.29961         35.015         36.170          -12.479          -12.601         0.14142E+00    0.15803E+00    1
    4    5        10    9        0.41171         33.185         33.581          -12.545          -12.597         0.14142E+00    0.16985E+00    1
    5    6        11   10        0.71825         38.993         38.182          -13.114          -13.070         0.14142E+00    0.17112E+00    1
    6    7        12   11        0.79323         63.146         62.152          -14.222          -14.211         0.14142E+00    0.14142E+00    0
    7    8        13   12        0.06115        101.420        101.296          -15.059          -15.072         0.14142E+00    0.14142E+00    0
    8    9        14   13        0.26585        112.012        112.609          -15.188          -15.188         0.14142E+00    0.14142E+00    0
    9   10        15   14        0.03629        107.111        107.034          -15.113          -15.096         0.14142E+00    0.14142E+00    0
   10   11        16   15        0.32011        103.680        103.018          -15.061          -15.035         0.14142E+00    0.14142E+00    0
   11   12        17   16        0.29903        101.902        101.294          -15.036          -15.007         0.14142E+00    0.14142E+00    0
   12   13        18   17        0.13266        100.972        100.705          -15.027          -15.014         0.14142E+00    0.14142E+00    0
   13   14        19   18        0.00536        100.470        100.481          -15.027          -15.025         0.14142E+00    0.14142E+00    0
   14   15        20   19        0.02365        100.177        100.129          -15.030          -15.030         0.14142E+00    0.14142E+00    0
   15   16        21   20        0.07058        100.013         99.872          -15.032          -15.032         0.14142E+00    0.14142E+00    0
   16   17        22   21        0.04522         99.957         99.867          -15.029          -15.035         0.14142E+00    0.14142E+00    0
   17   18        23   22        0.03021         99.902         99.963          -15.021          -15.043         0.14142E+00    0.14142E+00    0
   18   19        24   23        0.02325        100.045         99.999          -15.010          -15.043         0.14142E+00    0.14142E+00    0
    1    2         8    7        2.89294         33.861         36.194          -12.437          -12.588         0.14142E+00    0.15176E+00    1
    2    3         9    8        0.87376         39.759         40.618          -12.521          -12.614         0.14142E+00    0.15636E+00    1
    3    4        10    9        0.34717         39.738         40.084          -12.519          -12.589         0.14142E+00    0.15803E+00    1
    4    5        11   10        0.71581         33.767         34.449          -12.432          -12.507         0.14142E+00    0.16722E+00    1
    5    6        12   11        0.08321         36.360         36.447          -12.885          -12.896         0.14142E+00    0.16937E+00    1
    6    7        13   12        0.55265         59.790         59.133          -14.127          -14.112         0.14142E+00    0.14142E+00    0
    7    8        14   13        0.47650        100.757         99.801          -15.063          -15.056         0.14142E+00    0.14142E+00    0
    8    9        15   14        0.08046        114.079        114.263          -15.219          -15.210         0.14142E+00    0.14142E+00    0
    9   10        16   15        0.04303        109.086        109.180          -15.145          -15.132         0.14142E+00    0.14142E+00    0
   10   11        17   16        0.23737        105.101        104.603          -15.092          -15.073         0.14142E+00    0.14142E+00    0
   11   12        18   17        0.21824        102.936        102.488          -15.070          -15.061         0.14142E+00    0.14142E+00    0
   12   13        19   18        0.08731        101.728        101.550          -15.067          -15.068         0.14142E+00    0.14142E+00    0
   13   14        20   19        0.12025        101.052        100.809          -15.072          -15.078         0.14142E+00    0.14142E+00    0
   14   15        21   20        0.09729        100.633        100.437          -15.078          -15.089         0.14142E+00    0.14142E+00    0
   15   16        22   21        0.04930        100.425        100.326          -15.077          -15.093         0.14142E+00    0.14142E+00    0
   16   17        23   22        0.02242        100.344        100.389          -15.068          -15.095         0.14142E+00    0.14142E+00    0
   17   18        24   23        0.02444        100.476        100.525          -15.050          -15.093         0.14142E+00    0.14142E+00    0
    1    2         9    8        0.11696         44.643         44.772          -12.695          -12.749         0.14142E+00    0.15721E+00    1
    2    3        10    9        0.32398         47.549         47.166          -12.736          -12.746         0.14142E+00    0.15801E+00    1
    3    4        11   10        0.14628         44.569         44.407          -12.690          -12.712         0.14142E+00    0.15772E+00    1
    4    5        12   11        0.68037         35.235         35.901          -12.464          -12.531         0.14142E+00    0.16598E+00    1
    5    6        13   12        0.66080         34.841         35.499          -12.741          -12.791         0.14142E+00    0.16827E+00    1
    6    7        14   13        0.35947         57.233         56.823          -14.055          -14.039         0.14142E+00    0.14142E+00    0
    7    8        15   14        0.72823         99.799         98.356          -15.068          -15.045         0.14142E+00    0.14142E+00    0
    8    9        16   15        0.16403        115.462        115.084          -15.252          -15.238         0.14142E+00    0.14142E+00    0
    9   10        17   16        0.08628        110.700        110.891          -15.189          -15.183         0.14142E+00    0.14142E+00    0
   10   11        18   17        0.00220        106.288        106.284          -15.143          -15.151         0.14142E+00    0.14142E+00    0
   11   12        19   18        0.05430        103.813        103.700          -15.129          -15.140         0.14142E+00    0.14142E+00    0
   12   13        20   19        0.14192        102.347        102.057          -15.132          -15.143         0.14142E+00    0.14142E+00    0
   13   14        21   20        0.16092        101.523        101.197          -15.139          -15.155         0.14142E+00    0.14142E+00    0
   14   15        22   21        0.02940        100.994        100.935          -15.143          -15.163         0.14142E+00    0.14142E+00    0
   15   16        23   22        0.02400        100.755        100.803          -15.135          -15.159         0.14142E+00    0.14142E+00    0
   16   17        24   23        0.00361        100.786        100.793          -15.114          -15.145         0.14142E+00    0.14142E+00    0
    1    2        10    9        0.92836         53.763         52.520          -12.938          -12.927         0.14142E+00    0.15877E+00    1
    2    3        11   10        0.62067         53.692         52.871          -12.935          -12.910         0.14142E+00    0.15757E+00    1
    3    4        12   11        0.43625         48.829         48.305          -12.856          -12.851         0.14142E+00    0.15728E+00    1
    4    5        13   12        0.48943         36.866         37.365          -12.541          -12.590         0.14142E+00    0.16572E+00    1
    5    6        14   13        1.05556         33.899         34.915          -12.648          -12.730         0.14142E+00    0.16725E+00    1
    6    7        15   14        0.14835         55.170         55.007          -13.999          -13.986         0.14142E+00    0.14142E+00    0
    7    8        16   15        1.00191         98.729         96.771          -15.081          -15.048         0.14142E+00    0.14142E+00    0
    8    9        17   16        0.37096        116.376        115.516          -15.298          -15.282         0.14142E+00    0.14142E+00    0
    9   10        18   17        0.26011        111.929        112.513          -15.253          -15.267         0.14142E+00    0.14142E+00    0
   10   11        19   18        0.23474        107.297        107.802          -15.219          -15.244         0.14142E+00    0.14142E+00    0
   11   12        20   19        0.00319        104.501        104.494          -15.211          -15.232         0.14142E+00    0.14142E+00    0
   12   13        21   20        0.07241        102.814        102.665          -15.214          -15.234         0.14142E+00    0.14142E+00    0
   13   14        22   21        0.00172        101.831        101.834          -15.218          -15.238         0.14142E+00    0.14142E+00    0
   14   15        23   22        0.08281        101.280        101.448          -15.212          -15.231         0.14142E+00    0.14142E+00    0
   15   16        24   23        0.02914        101.059        101.118          -15.193          -15.205         0.14142E+00    0.14142E+00    0
    1    2        11   10        1.07662         60.281         58.683          -13.121          -13.099         0.14142E+00    0.15798E+00    1
    2    3        12   11        0.70326         58.658         57.654          -13.095          -13.064         0.14142E+00    0.15669E+00    1
    3    4        13   12        0.66877         52.529         51.669          -12.998          -12.981         0.14142E+00    0.15711E+00    1
    4    5        14   13        0.22191         38.499         38.733          -12.630          -12.665         0.14142E+00    0.16549E+00    1
    5    6        15   14        1.39433         33.276         34.574          -12.592          -12.699         0.14142E+00    0.16566E+00    1
    6    7        16   15        0.01878         53.452         53.432          -13.964          -13.954         0.14142E+00    0.14142E+00    0
    7    8        17   16        1.18082         97.613         95.334          -15.111          -15.070         0.14142E+00    0.14142E+00    0
    8    9        18   17        0.42227        116.981        115.997          -15.365          -15.357         0.14142E+00    0.14142E+00    0
    9   10        19   18        0.38759        112.983        113.862          -15.340          -15.362         0.14142E+00    0.14142E+00    0
   10   11        20   19        0.26348        108.221        108.793          -15.313          -15.342         0.14142E+00    0.14142E+00    0
   11   12        21   20        0.13513        105.104        105.389          -15.303          -15.329         0.14142E+00    0.14142E+00    0
   12   13        22   21        0.14601        103.249        103.551          -15.299          -15.322         0.14142E+00    0.14142E+00    0
   13   14        23   22        0.13344        102.207        102.480          -15.291          -15.305         0.14142E+00    0.14142E+00    0
   14   15        24   23        0.07987        101.618        101.780          -15.274          -15.271         0.14142E+00    0.14142E+00    0
    1    2        12   11        0.98581         65.204         63.649          -13.262          -13.251         0.14142E+00    0.15646E+00    1
    2    3        13   12        0.66977         62.651         61.644          -13.223          -13.199         0.14142E+00    0.15561E+00    1
    3    4        14   13        0.84760         55.730         54.588          -13.120          -13.104         0.14142E+00    0.15632E+00    1
    4    5        15   14        0.00205         40.032         40.034          -12.725          -12.747         0.14142E+00    0.16459E+00    1
    5    6        16   15        1.59753         32.867         34.324          -12.570          -12.694         0.14142E+00    0.16480E+00    1
    6    7        17   16        0.09361         52.063         52.161          -13.956          -13.948         0.14142E+00    0.14142E+00    0
    7    8        18   17        1.20226         96.582         94.288          -15.165          -15.126         0.14142E+00    0.14142E+00    0
    8    9        19   18        0.46677        117.402        116.311          -15.453          -15.441         0.14142E+00    0.14142E+00    0
    9   10        20   19        0.31419        113.884        114.602          -15.439          -15.455         0.14142E+00    0.14142E+00    0
   10   11        21   20        0.39124        108.976        109.832          -15.409          -15.439         0.14142E+00    0.14142E+00    0
   11   12        22   21        0.36849        105.740        106.522          -15.387          -15.417         0.14142E+00    0.14142E+00    0
   12   13        23   22        0.28644        103.788        104.384          -15.368          -15.385         0.14142E+00    0.14142E+00    0
   13   14        24   23        0.12799        102.630        102.893          -15.348          -15.339         0.14142E+00    0.14142E+00    0
    1    2        13   12        0.83534         69.059         67.689          -13.374          -13.383         0.14142E+00    0.15488E+00    1
    2    3        14   13        0.64587         66.028         65.023          -13.331          -13.323         0.14142E+00    0.15405E+00    1
    3    4        15   14        0.95380         58.518         57.199          -13.234          -13.219         0.14142E+00    0.15460E+00    1
    4    5        16   15        0.24200         41.449         41.179          -12.833          -12.838         0.14142E+00    0.16428E+00    1
    5    6        17   16        1.75934         32.620         34.202          -12.585          -12.717         0.14142E+00    0.16408E+00    1
    6    7        18   17        0.34665         50.888         51.242          -13.978          -13.980         0.14142E+00    0.14142E+00    0
    7    8        19   18        1.20949         95.627         93.342          -15.240          -15.193         0.14142E+00    0.14142E+00    0
    8    9        20   19        0.68430        117.696        116.097          -15.548          -15.523         0.14142E+00    0.14142E+00    0
    9   10        21   20        0.30488        114.659        115.361          -15.532          -15.544         0.14142E+00    0.14142E+00    0
   10   11        22   21        0.57434        109.767        111.035          -15.488          -15.521         0.14142E+00    0.14142E+00    0
   11   12        23   22        0.50857        106.403        107.491          -15.449          -15.474         0.14142E+00    0.14142E+00    0
   12   13        24   23        0.26970        104.324        104.888          -15.416          -15.410         0.14142E+00    0.14142E+00    0
    1    3         7    5        1.14644         64.112         62.659          -14.275          -14.203         0.14142E+00    0.14142E+00    0
    2    4         8    6        0.47906         47.790         47.267          -13.768          -13.744         0.14142E+00    0.15164E+00    1
    3    5         9    7        1.58245         44.331         42.383          -13.721          -13.613         0.14142E+00    0.16852E+00    1
    4    6        10    8        1.87203         47.777         45.293          -13.768          -13.664         0.14142E+00    0.16890E+00    1
    5    7        11    9        1.18657         63.996         62.495          -14.274          -14.271         0.14142E+00    0.14142E+00    0
    6    8        12   10        0.53555         90.881         91.859          -14.882          -14.931         0.14142E+00    0.14142E+00    0
    7    9        13   11        0.39188        105.040        105.866          -15.099          -15.115         0.14142E+00    0.14142E+00    0
    8   10        14   12        0.14436        104.944        104.641          -15.093          -15.080         0.14142E+00    0.14142E+00    0
    9   11        15   13        0.27623        102.112        101.550          -15.049          -15.028         0.14142E+00    0.14142E+00    0
   10   12        16   14        0.15102        100.624        100.321          -15.023          -15.006         0.14142E+00    0.14142E+00    0
   11   13        17   15        0.03995         99.901         99.821          -15.011          -14.999         0.14142E+00    0.14142E+00    0
   12   14        18   16        0.04223         99.482         99.566          -15.005          -14.998         0.14142E+00    0.14142E+00    0
   13   15        19   17        0.08506         99.293         99.462          -15.004          -15.004         0.14142E+00    0.14142E+00    0
   14   16        20   18        0.08954         99.179         99.357          -15.004          -15.001         0.14142E+00    0.14142E+00    0
   15   17        21   19        0.02897         99.131         99.188          -15.004          -14.997         0.14142E+00    0.14142E+00    0
   16   18        22   20        0.02386         99.075         99.122          -15.003          -14.997         0.14142E+00    0.14142E+00    0
   17   19        23   21        0.00251         99.065         99.070          -15.000          -14.997         0.14142E+00    0.14142E+00    0
   18   20        24   22        0.07586         99.139         98.988          -14.997          -14.997         0.14142E+00    0.14142E+00    0
    1    3         9    7        1.73785         36.495         38.051          -12.543          -12.654         0.14142E+00    0.15501E+00    1
