    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
    1    2         4    3        0.02824         99.252         99.199           -9.958          -10.132         0.14142E+00    0.14142E+00    0
    2    3         5    4        0.09262        102.599        102.837           -9.905          -10.161         0.14142E+00    0.15862E+00    1
    3    4         6    5        0.54054         84.660         83.245          -10.222          -10.379         0.14142E+00    0.17661E+00    1
    4    5         7    6        2.83587         61.224         55.541          -10.602          -10.833         0.14142E+00    0.18535E+00    1
    5    6         8    7        3.50007         61.279         54.066          -10.602          -10.851         0.14142E+00    0.18916E+00    1
    6    7         9    8        0.55033         84.698         85.637          -10.222          -10.093         0.14142E+00    0.14158E+00    1
    7    8        10    9        0.98417        102.603        104.642           -9.905           -9.923         0.14142E+00    0.14142E+00    0
    8    9        11   10        1.19774         98.942         96.600           -9.956          -10.108         0.14142E+00    0.14142E+00    0
    9   10        12   11        1.08339         97.388         95.300           -9.981          -10.178         0.14142E+00    0.14142E+00    0
   10   11        13   12        0.56798         96.886         95.792           -9.988          -10.171         0.14142E+00    0.14142E+00    0
   11   12        14   13        0.17826         96.565         96.222           -9.990          -10.123         0.14142E+00    0.14142E+00    0
   12   13        15   14        0.01998         96.607         96.645           -9.988          -10.058         0.14142E+00    0.14142E+00    0
   13   14        16   15        0.29698         96.522         97.097           -9.985           -9.946         0.14142E+00    0.14142E+00    0
   14   15        17   16        0.29807         96.548         97.126           -9.981           -9.844         0.14142E+00    0.14142E+00    0
   15   16        18   17        0.19292         96.546         96.918           -9.980           -9.754         0.14142E+00    0.14142E+00    0
   16   17        19   18        0.13249         96.530         96.785           -9.981           -9.728         0.14142E+00    0.14142E+00    0
   17   18        20   19        0.01571         96.506         96.529           -9.983           -9.773         0.14142E+00    0.14142E+00    0
   18   19        21   20        0.11475         96.494         96.273           -9.983           -9.882         0.14142E+00    0.14142E+00    0
   19   20        22   21        0.12377         96.486         96.247           -9.982          -10.014         0.14142E+00    0.14142E+00    0
   20   21        23   22        0.09100         96.578         96.403           -9.980          -10.115         0.14142E+00    0.14142E+00    0
   21   22        24   23        0.04462         96.640         96.725           -9.982          -10.152         0.14142E+00    0.14142E+00    0
    1    2         5    4        1.53122        109.776        104.475           -9.830          -10.247         0.14142E+00    0.17979E+00    1
    2    3         6    5        3.03530         78.047         70.165          -10.370          -10.710         0.14142E+00    0.18728E+00    1
    3    4         7    6        0.99108         40.316         39.525          -11.727          -11.717         0.14142E+00    0.14142E+00    0
    4    5         8    7        1.55792         33.233         34.284          -12.267          -12.077         0.14142E+00    0.14142E+00    0
    5    6         9    8        2.39348         40.275         37.979          -11.726          -11.807         0.14142E+00    0.15657E+00    1
    6    7        10    9        1.06699         78.014         75.790          -10.368          -10.428         0.14142E+00    0.16466E+00    1
    7    8        11   10        0.47492        109.590        110.636           -9.826           -9.908         0.14142E+00    0.14142E+00    0
    8    9        12   11        0.01122        104.475        104.452           -9.898           -9.964         0.14142E+00    0.14142E+00    0
    9   10        13   12        0.41466        101.114        100.279           -9.946          -10.012         0.14142E+00    0.14142E+00    0
   10   11        14   13        0.38878         99.830         99.057           -9.961          -10.025         0.14142E+00    0.14142E+00    0
   11   12        15   14        0.30918         99.286         98.673           -9.962          -10.010         0.14142E+00    0.14142E+00    0
   12   13        16   15        0.01453         99.012         99.040           -9.956           -9.945         0.14142E+00    0.14142E+00    0
   13   14        17   16        0.12386         98.927         99.172           -9.952           -9.910         0.14142E+00    0.14142E+00    0
   14   15        18   17        0.03922         98.811         98.888           -9.962           -9.928         0.14142E+00    0.14142E+00    0
   15   16        19   18        0.07298         98.770         98.914           -9.988           -9.958         0.14142E+00    0.14142E+00    0
   16   17        20   19        0.05704         98.769         98.882          -10.016          -10.022         0.14142E+00    0.14142E+00    0
   17   18        21   20        0.02898         98.731         98.788          -10.028          -10.089         0.14142E+00    0.14142E+00    0
   18   19        22   21        0.01584         98.744         98.773          -10.017          -10.142         0.14142E+00    0.14142E+00    0
